time,cpu,ram,disk,net_sent,net_recv
13:41:43,0.0,83.3,96.6,1332422093,7058687089
13:41:45,34.7,83.7,96.6,1332426534,7058694955
13:41:47,33.0,83.7,96.6,1332427149,7058697554
13:41:49,29.7,83.7,96.6,1332428633,7058699382
13:41:51,36.4,83.8,96.6,1332428957,7058699806
